timestamp,value_kwh
2025-12-01T00:15:00+01:00,0.508587
2025-12-01T00:30:00+01:00,0.387413
2025-12-01T00:45:00+01:00,0.384
2025-12-01T01:00:00+01:00,0.508587
2025-12-01T01:15:00+01:00,1.539413
2025-12-01T01:30:00+01:00,1.28
2025-12-01T01:45:00+01:00,0.383586
2025-12-01T02:00:00+01:00,0.512414
2025-12-01T02:15:00+01:00,0.384
2025-12-01T02:30:00+01:00,0.508587
2025-12-01T02:45:00+01:00,0.387413
2025-12-01T03:00:00+01:00,0.384
2025-12-01T03:15:00+01:00,0.508587
2025-12-01T03:30:00+01:00,0.387413
2025-12-01T03:45:00+01:00,0.383586
2025-12-01T04:00:00+01:00,0.512414
2025-12-01T04:15:00+01:00,0.384
2025-12-01T04:30:00+01:00,0.384
2025-12-01T04:45:00+01:00,0.512
2025-12-01T05:00:00+01:00,0.384
2025-12-01T05:15:00+01:00,0.384
2025-12-01T05:30:00+01:00,0.512
2025-12-01T05:45:00+01:00,0.384
2025-12-01T06:00:00+01:00,0.383989
2025-12-01T06:15:00+01:00,0.512011
2025-12-01T06:30:00+01:00,0.384
2025-12-01T06:45:00+01:00,0.384
2025-12-01T07:00:00+01:00,2.03776
2025-12-01T07:15:00+01:00,0.39424
2025-12-01T07:30:00+01:00,0.384
2025-12-01T07:45:00+01:00,1.28
2025-12-01T08:00:00+01:00,0.384
2025-12-01T08:15:00+01:00,1.408
2025-12-01T08:30:00+01:00,1.536
2025-12-01T08:45:00+01:00,0.512
2025-12-01T09:00:00+01:00,0.384
2025-12-01T09:15:00+01:00,0.383586
2025-12-01T09:30:00+01:00,0.512414
2025-12-01T09:45:00+01:00,0.384
2025-12-01T10:00:00+01:00,0.384
2025-12-01T10:15:00+01:00,0.508587
2025-12-01T10:30:00+01:00,0.387413
2025-12-01T10:45:00+01:00,0.384
2025-12-01T11:00:00+01:00,0.895989
2025-12-01T11:15:00+01:00,0.384011
2025-12-01T11:30:00+01:00,0.384
2025-12-01T11:45:00+01:00,0.896
2025-12-01T12:00:00+01:00,0.384
2025-12-01T12:15:00+01:00,0.512
2025-12-01T12:30:00+01:00,0.75776
2025-12-01T12:45:00+01:00,0.52224
2025-12-01T13:00:00+01:00,0.384
2025-12-01T13:15:00+01:00,0.384
2025-12-01T13:30:00+01:00,0.512
2025-12-01T13:45:00+01:00,1.28
2025-12-01T14:00:00+01:00,0.511989
2025-12-01T14:15:00+01:00,0.384011
2025-12-01T14:30:00+01:00,0.508587
2025-12-01T14:45:00+01:00,1.508693
2025-12-01T15:00:00+01:00,0.539307
2025-12-01T15:15:00+01:00,0.387413
2025-12-01T15:30:00+01:00,2.044587
2025-12-01T15:45:00+01:00,0.515413
2025-12-01T16:00:00+01:00,0.384
2025-12-01T16:15:00+01:00,2.688
2025-12-01T16:30:00+01:00,0.384
2025-12-01T16:45:00+01:00,0.533274
2025-12-01T17:00:00+01:00,0.49158
2025-12-01T17:15:00+01:00,1.17248
2025-12-01T17:30:00+01:00,0.384
2025-12-01T17:45:00+01:00,0.384
2025-12-01T18:00:00+01:00,1.28
2025-12-01T18:15:00+01:00,0.384
2025-12-01T18:30:00+01:00,0.895632
2025-12-01T18:45:00+01:00,0.384368
2025-12-01T19:00:00+01:00,0.40192
2025-12-01T19:15:00+01:00,0.49408
2025-12-01T19:30:00+01:00,0.384
2025-12-01T19:45:00+01:00,0.512
2025-12-01T20:00:00+01:00,1.664
2025-12-01T20:15:00+01:00,0.384
2025-12-01T20:30:00+01:00,0.40192
2025-12-01T20:45:00+01:00,0.493712
2025-12-01T21:00:00+01:00,0.384368
2025-12-01T21:15:00+01:00,0.512
2025-12-01T21:30:00+01:00,0.384
2025-12-01T21:45:00+01:00,0.384
2025-12-01T22:00:00+01:00,0.512
2025-12-01T22:15:00+01:00,0.384
2025-12-01T22:30:00+01:00,0.384
2025-12-01T22:45:00+01:00,0.512
2025-12-01T23:00:00+01:00,0.383632
2025-12-01T23:15:00+01:00,0.384368
2025-12-01T23:30:00+01:00,0.6016
2025-12-01T23:45:00+01:00,0.9344
2025-12-02T00:00:00+01:00,0.384
2025-12-02T00:15:00+01:00,0.512
2025-12-02T00:30:00+01:00,0.384
2025-12-02T00:45:00+01:00,0.384
2025-12-02T01:00:00+01:00,0.512
2025-12-02T01:15:00+01:00,0.384
2025-12-02T01:30:00+01:00,0.40192
2025-12-02T01:45:00+01:00,0.49408
