timestamp,value_kwh
2026-07-03T12:00:00+02:00,
2026-07-03T12:15:00+02:00,9.294634
2026-07-03T12:30:00+02:00,4.795418
2026-07-03T12:45:00+02:00,0.711007
2026-07-03T13:00:00+02:00,2.456315
2026-07-03T13:15:00+02:00,5.212838
2026-07-03T13:30:00+02:00,0.221021
2026-07-03T13:45:00+02:00,1.000511
2026-07-03T14:00:00+02:00,0.155393
2026-07-03T14:15:00+02:00,0.0
2026-07-03T14:30:00+02:00,0.23883
2026-07-03T14:45:00+02:00,0.629644
2026-07-03T15:00:00+02:00,0.0
2026-07-03T15:15:00+02:00,0.0
2026-07-03T15:30:00+02:00,1.289912
2026-07-03T15:45:00+02:00,3.665556
2026-07-03T16:00:00+02:00,0.0769
2026-07-03T16:15:00+02:00,0.0
2026-07-03T16:30:00+02:00,0.884873
2026-07-03T16:45:00+02:00,2.84033
2026-07-03T17:00:00+02:00,0.638535
2026-07-03T17:15:00+02:00,1.294984
2026-07-03T17:30:00+02:00,0.0
2026-07-03T17:45:00+02:00,0.0
2026-07-03T18:00:00+02:00,2.722292
2026-07-03T18:15:00+02:00,5.953014
2026-07-03T18:30:00+02:00,6.385147
2026-07-03T18:45:00+02:00,6.3444
2026-07-03T19:00:00+02:00,7.80105
2026-07-03T19:15:00+02:00,6.413235
2026-07-03T19:30:00+02:00,6.3444
2026-07-03T19:45:00+02:00,6.571129
2026-07-03T20:00:00+02:00,6.084366
2026-07-03T20:15:00+02:00,5.867352
2026-07-03T20:30:00+02:00,5.858264
2026-07-03T20:45:00+02:00,7.037912
2026-07-03T21:00:00+02:00,6.70222
2026-07-03T21:15:00+02:00,6.260141
2026-07-03T21:30:00+02:00,7.286279
2026-07-03T21:45:00+02:00,6.844752
2026-07-03T22:00:00+02:00,5.881634
2026-07-03T22:15:00+02:00,5.472947
2026-07-03T22:30:00+02:00,5.838829
2026-07-03T22:45:00+02:00,5.983622
2026-07-03T23:00:00+02:00,5.608374
2026-07-03T23:15:00+02:00,5.565184
2026-07-03T23:30:00+02:00,5.348527
2026-07-03T23:45:00+02:00,6.607328
2026-07-04T00:00:00+02:00,5.340623
2026-07-04T00:15:00+02:00,4.768704
2026-07-04T00:30:00+02:00,4.677964
2026-07-04T00:45:00+02:00,4.660276
2026-07-04T01:00:00+02:00,4.673153
2026-07-04T01:15:00+02:00,4.697181
2026-07-04T01:30:00+02:00,4.683653
2026-07-04T01:45:00+02:00,4.694247
2026-07-04T02:00:00+02:00,4.67131
2026-07-04T02:15:00+02:00,4.67891
2026-07-04T02:30:00+02:00,4.716013
2026-07-04T02:45:00+02:00,4.663719
2026-07-04T03:00:00+02:00,4.740692
2026-07-04T03:15:00+02:00,4.751289
2026-07-04T03:30:00+02:00,4.715809
2026-07-04T03:45:00+02:00,4.733708
2026-07-04T04:00:00+02:00,4.726029
2026-07-04T04:15:00+02:00,4.738697
2026-07-04T04:30:00+02:00,4.74194
2026-07-04T04:45:00+02:00,4.738125
2026-07-04T05:00:00+02:00,4.782183
2026-07-04T05:15:00+02:00,4.747627
2026-07-04T05:30:00+02:00,4.972363
2026-07-04T05:45:00+02:00,5.280644
2026-07-04T06:00:00+02:00,5.655387
2026-07-04T06:15:00+02:00,6.742415
2026-07-04T06:30:00+02:00,7.609784
2026-07-04T06:45:00+02:00,7.010074
2026-07-04T07:00:00+02:00,7.324234
2026-07-04T07:15:00+02:00,7.524795
2026-07-04T07:30:00+02:00,7.368632
2026-07-04T07:45:00+02:00,6.655984
2026-07-04T08:00:00+02:00,6.558471
2026-07-04T08:15:00+02:00,7.448749
2026-07-04T08:30:00+02:00,7.478874
2026-07-04T08:45:00+02:00,6.952317
2026-07-04T09:00:00+02:00,6.66748
2026-07-04T09:15:00+02:00,6.307295
2026-07-04T09:30:00+02:00,6.28827
2026-07-04T09:45:00+02:00,6.542519
2026-07-04T10:00:00+02:00,6.732704
2026-07-04T10:15:00+02:00,7.869919
2026-07-04T10:30:00+02:00,6.789523
2026-07-04T10:45:00+02:00,6.407759
2026-07-04T11:00:00+02:00,6.799943
2026-07-04T11:15:00+02:00,6.321421
2026-07-04T11:30:00+02:00,6.964726
2026-07-04T11:45:00+02:00,6.783704
2026-07-04T12:00:00+02:00,6.590856
2026-07-04T12:15:00+02:00,6.836927
2026-07-04T12:30:00+02:00,6.881998
2026-07-04T12:45:00+02:00,6.251482
2026-07-04T13:00:00+02:00,6.725204
2026-07-04T13:15:00+02:00,7.244263
2026-07-04T13:30:00+02:00,8.204569
2026-07-04T13:45:00+02:00,7.553937
2026-07-04T14:00:00+02:00,6.76419
2026-07-04T14:15:00+02:00,6.748729
2026-07-04T14:30:00+02:00,6.74842
2026-07-04T14:45:00+02:00,6.775682
2026-07-04T15:00:00+02:00,6.777077
2026-07-04T15:15:00+02:00,6.765237
2026-07-04T15:30:00+02:00,6.771613
2026-07-04T15:45:00+02:00,6.774378
2026-07-04T16:00:00+02:00,6.757529
2026-07-04T16:15:00+02:00,6.773442
2026-07-04T16:30:00+02:00,6.782917
2026-07-04T16:45:00+02:00,6.790258
2026-07-04T17:00:00+02:00,6.788193
2026-07-04T17:15:00+02:00,6.812464
2026-07-04T17:30:00+02:00,6.864028
2026-07-04T17:45:00+02:00,6.856761
2026-07-04T18:00:00+02:00,6.858826
2026-07-04T18:15:00+02:00,6.873944
2026-07-04T18:30:00+02:00,6.886744
2026-07-04T18:45:00+02:00,6.881487
2026-07-04T19:00:00+02:00,6.889926
2026-07-04T19:15:00+02:00,6.884033
2026-07-04T19:30:00+02:00,6.95784
2026-07-04T19:45:00+02:00,6.82988
2026-07-04T20:00:00+02:00,6.793658
2026-07-04T20:15:00+02:00,6.860411
2026-07-04T20:30:00+02:00,6.878459
2026-07-04T20:45:00+02:00,7.137069
2026-07-04T21:00:00+02:00,7.225975
2026-07-04T21:15:00+02:00,7.224184
2026-07-04T21:30:00+02:00,7.154067
2026-07-04T21:45:00+02:00,7.142725
2026-07-04T22:00:00+02:00,7.139391
2026-07-04T22:15:00+02:00,7.136005
2026-07-04T22:30:00+02:00,7.13959
2026-07-04T22:45:00+02:00,7.147144
2026-07-04T23:00:00+02:00,7.134025
2026-07-04T23:15:00+02:00,7.136751
2026-07-04T23:30:00+02:00,7.131359
2026-07-04T23:45:00+02:00,7.121964
2026-07-05T00:00:00+02:00,7.13568
2026-07-05T00:15:00+02:00,7.133029
2026-07-05T00:30:00+02:00,7.142798
2026-07-05T00:45:00+02:00,7.13303
2026-07-05T01:00:00+02:00,7.132718
2026-07-05T01:15:00+02:00,7.126071
2026-07-05T01:30:00+02:00,7.136325
2026-07-05T01:45:00+02:00,7.138353
2026-07-05T02:00:00+02:00,7.14067
2026-07-05T02:15:00+02:00,7.137292
2026-07-05T02:30:00+02:00,7.154536
2026-07-05T02:45:00+02:00,7.148487
2026-07-05T03:00:00+02:00,7.140474
2026-07-05T03:15:00+02:00,7.142988
2026-07-05T03:30:00+02:00,7.158376
2026-07-05T03:45:00+02:00,7.152307
2026-07-05T04:00:00+02:00,7.148358
2026-07-05T04:15:00+02:00,7.165488
2026-07-05T04:30:00+02:00,7.173485
2026-07-05T04:45:00+02:00,7.163612
2026-07-05T05:00:00+02:00,7.160719
2026-07-05T05:15:00+02:00,7.158033
2026-07-05T05:30:00+02:00,7.16461
2026-07-05T05:45:00+02:00,7.153137
2026-07-05T06:00:00+02:00,7.16569
2026-07-05T06:15:00+02:00,7.156315
2026-07-05T06:30:00+02:00,7.153724
2026-07-05T06:45:00+02:00,7.161035
2026-07-05T07:00:00+02:00,7.161526
2026-07-05T07:15:00+02:00,7.153117
2026-07-05T07:30:00+02:00,7.170449
2026-07-05T07:45:00+02:00,7.147014
2026-07-05T08:00:00+02:00,7.168589
2026-07-05T08:15:00+02:00,7.155722
2026-07-05T08:30:00+02:00,7.155992
2026-07-05T08:45:00+02:00,7.162067
2026-07-05T09:00:00+02:00,7.156024
2026-07-05T09:15:00+02:00,7.164424
2026-07-05T09:30:00+02:00,7.169137
2026-07-05T09:45:00+02:00,7.155015
2026-07-05T10:00:00+02:00,7.159342
2026-07-05T10:15:00+02:00,7.341681
2026-07-05T10:30:00+02:00,7.291612
2026-07-05T10:45:00+02:00,7.298484
2026-07-05T11:00:00+02:00,7.246005
2026-07-05T11:15:00+02:00,7.39258
2026-07-05T11:30:00+02:00,7.241686
2026-07-05T11:45:00+02:00,7.257476
2026-07-05T12:00:00+02:00,6.91554
2026-07-05T12:15:00+02:00,6.728894
2026-07-05T12:30:00+02:00,6.737556
2026-07-05T12:45:00+02:00,6.702507
2026-07-05T13:00:00+02:00,6.729549
2026-07-05T13:15:00+02:00,6.717309
2026-07-05T13:30:00+02:00,6.824325
2026-07-05T13:45:00+02:00,6.802908
2026-07-05T14:00:00+02:00,6.760712
2026-07-05T14:15:00+02:00,6.822969
2026-07-05T14:30:00+02:00,6.762754
2026-07-05T14:45:00+02:00,6.867838
2026-07-05T15:00:00+02:00,6.835645
2026-07-05T15:15:00+02:00,6.776084
2026-07-05T15:30:00+02:00,6.777841
2026-07-05T15:45:00+02:00,6.782277
2026-07-05T16:00:00+02:00,6.78257
2026-07-05T16:15:00+02:00,6.789925
2026-07-05T16:30:00+02:00,6.783932
2026-07-05T16:45:00+02:00,6.784701
2026-07-05T17:00:00+02:00,6.788446
2026-07-05T17:15:00+02:00,6.789324
2026-07-05T17:30:00+02:00,6.814688
2026-07-05T17:45:00+02:00,6.815085
2026-07-05T18:00:00+02:00,6.825422
2026-07-05T18:15:00+02:00,6.757252
2026-07-05T18:30:00+02:00,6.742696
2026-07-05T18:45:00+02:00,6.753539
2026-07-05T19:00:00+02:00,6.749929
2026-07-05T19:15:00+02:00,6.730252
2026-07-05T19:30:00+02:00,6.749159
2026-07-05T19:45:00+02:00,6.755396
2026-07-05T20:00:00+02:00,6.754675
2026-07-05T20:15:00+02:00,6.764605
2026-07-05T20:30:00+02:00,6.751046
2026-07-05T20:45:00+02:00,6.758718
2026-07-05T21:00:00+02:00,6.765151
2026-07-05T21:15:00+02:00,7.72575
2026-07-05T21:30:00+02:00,7.533987
2026-07-05T21:45:00+02:00,6.735002
2026-07-05T22:00:00+02:00,6.73974
2026-07-05T22:15:00+02:00,6.731008
2026-07-05T22:30:00+02:00,6.748316
2026-07-05T22:45:00+02:00,6.731487
2026-07-05T23:00:00+02:00,6.725349
2026-07-05T23:15:00+02:00,6.794638
2026-07-05T23:30:00+02:00,6.799726
2026-07-05T23:45:00+02:00,6.861923
2026-07-06T00:00:00+02:00,6.840209
2026-07-06T00:15:00+02:00,6.798524
2026-07-06T00:30:00+02:00,6.879881
2026-07-06T00:45:00+02:00,6.894289
2026-07-06T01:00:00+02:00,6.912274
2026-07-06T01:15:00+02:00,6.857119
2026-07-06T01:30:00+02:00,6.882468
2026-07-06T01:45:00+02:00,6.926232
2026-07-06T02:00:00+02:00,6.891006
2026-07-06T02:15:00+02:00,6.952759
2026-07-06T02:30:00+02:00,6.904896
2026-07-06T02:45:00+02:00,7.000241
2026-07-06T03:00:00+02:00,7.024053
2026-07-06T03:15:00+02:00,7.222042
2026-07-06T03:30:00+02:00,7.273173
2026-07-06T03:45:00+02:00,7.278204
2026-07-06T04:00:00+02:00,7.25473
2026-07-06T04:15:00+02:00,7.261055
2026-07-06T04:30:00+02:00,7.23038
2026-07-06T04:45:00+02:00,7.279578
2026-07-06T05:00:00+02:00,7.247127
2026-07-06T05:15:00+02:00,7.150768
2026-07-06T05:30:00+02:00,7.370673
2026-07-06T05:45:00+02:00,7.855062
2026-07-06T06:00:00+02:00,9.395875
2026-07-06T06:15:00+02:00,9.894504
2026-07-06T06:30:00+02:00,9.837333
2026-07-06T06:45:00+02:00,10.005125
2026-07-06T07:00:00+02:00,10.614429
2026-07-06T07:15:00+02:00,11.637543
2026-07-06T07:30:00+02:00,7.879427
2026-07-06T07:45:00+02:00,8.028194
2026-07-06T08:00:00+02:00,7.232399
2026-07-06T08:15:00+02:00,7.187152
2026-07-06T08:30:00+02:00,7.362046
2026-07-06T08:45:00+02:00,6.909342
2026-07-06T09:00:00+02:00,7.059748
2026-07-06T09:15:00+02:00,6.847712
2026-07-06T09:30:00+02:00,8.750186
2026-07-06T09:45:00+02:00,10.902828
2026-07-06T10:00:00+02:00,6.720356
2026-07-06T10:15:00+02:00,8.525909
2026-07-06T10:30:00+02:00,11.40132
2026-07-06T10:45:00+02:00,10.013819
2026-07-06T11:00:00+02:00,8.499891
2026-07-06T11:15:00+02:00,8.455534
2026-07-06T11:30:00+02:00,9.16754
2026-07-06T11:45:00+02:00,8.334507
2026-07-06T12:00:00+02:00,8.334507
2026-07-06T12:15:00+02:00,9.022129
2026-07-06T12:30:00+02:00,6.8176
2026-07-06T12:45:00+02:00,7.030633
2026-07-06T13:00:00+02:00,10.123718
2026-07-06T13:15:00+02:00,10.733839
2026-07-06T13:30:00+02:00,6.668503
2026-07-06T13:45:00+02:00,6.776194
2026-07-06T14:00:00+02:00,6.545152
2026-07-06T14:15:00+02:00,8.440533
2026-07-06T14:30:00+02:00,7.748995
2026-07-06T14:45:00+02:00,6.928099
2026-07-06T15:00:00+02:00,7.245869
2026-07-06T15:15:00+02:00,7.180944
2026-07-06T15:30:00+02:00,7.559775
2026-07-06T15:45:00+02:00,7.450269
2026-07-06T16:00:00+02:00,8.405537
2026-07-06T16:15:00+02:00,7.628042
2026-07-06T16:30:00+02:00,7.1829
2026-07-06T16:45:00+02:00,6.959991
2026-07-06T17:00:00+02:00,9.756636
2026-07-06T17:15:00+02:00,11.050635
2026-07-06T17:30:00+02:00,7.905866
2026-07-06T17:45:00+02:00,9.053418
